also_known_as,birthday,deathday,gender,homepage,id,imdb_id,known_for_department,name,place_of_birth,popularity
John Holland Cazale,1935-08-12,1978-03-12,2,,3096,nm0001030,Acting,John Cazale,"Boston, Massachusetts, USA",10.048
,1912-10-01,1982-03-29,2,,3143,nm0094036,Acting,Rudy Bond," Philadelphia, Pennsylvania",3.601
,1927-10-07,2009-10-13,2,,3144,nm0553887,Acting,Al Martino,"Philadelphia, Pennsylvania, USA",2.296
,1930-07-04,2018-03-22,1,,933716,nm0455088,Acting,Morgana King,"Pleasantville, New York, USA",1.718
Lenny Passaforo,1926-03-13,1992-05-12,2,,106811,nm0598926,Acting,Lenny Montana," Brooklyn, New York, USA",7.737
,1937-05-05,,2,,99724,nm0553908,Acting,John Martino,,3.279
,,,2,,1195877,nm0181128,Acting,Salvatore Corsitto,,3.055
"Eddie Gambino,Richard Wright",1937-06-28,2006-02-18,2,,3174,nm0109175,Acting,Richard Bright,"Brooklyn, New York, USA",7.696
,1936-02-29,2015-07-18,2,,20752,nm0733678,Acting,Alex Rocco,"Cambridge, Massachusetts, U.S.",6.545
"Lu Sifer ,Anthony Giorgio ",1923-09-27,2012-02-01,2,,3414,nm0320413,Acting,Tony Giorgio,"Herkimer, New York, USA",5.091
Vitto Scotti,1918-01-26,1996-06-05,2,,82779,nm0780005,Acting,Vito Scotti,"San Francisco, California, USA",5.893
,,,1,,982089,nm0515372,Acting,Tere Livrano,,4.923
,,,2,,3413,nm0719353,Acting,Victor Rendina,,4.606
,,,1,,167363,,Acting,Jeannie Linero,,2.505
Beverly Scalzo,1937-01-24,2016-11-07,1,,160728,nm0339589,Acting,Julie Gregg,"Niagara Falls, New York, USA",5.414
,,,1,,4111331,nm0792132,Acting,Ardell Sheridan,,0.6
,1954-11-30,,1,,3145,nm0824940,Acting,Simonetta Stefanelli,"Rome, Lazio, Italy",20.549
,1939-02-16,2010-10-12,2,,27647,nm0408636,Acting,Angelo Infanti,"Zagarolo, Lazio, Italy",5.952
,1924-03-13,1989-09-21,2,,24604,nm0301403,Acting,Corrado Gaipa,"Palermo, Sicily, Italy",1.857
,1935-04-23,2016-01-14,2,,44860,nm0162948,Acting,Franco Citti,"Roma, Lazio, Italia",3.757
"Rosario Urzì ,Saro Urzzi ,Саро Урци",1913-02-24,1979-11-02,2,,119431,nm0882237,Acting,Saro Urzì," Catania, Sicily, Italy",5.908
Roman François Coppola,1965-04-22,,2,,38803,nm0178910,Writing,Roman Coppola,"Neuilly-sur-Seine, France",8.412
"Domino Coppola,Sofia Carmina Coppola,Domino,Sofia,София Коппола,โซเฟีย คอปโปลา,蘇菲亞·柯波拉,ソフィア・コッポラ,소피아 코폴라,صوفيا كوبولا",1971-05-14,,1,,1769,nm0001068,Directing,Sofia Coppola,"New York City, New York, USA",9.415
,,,0,,1209294,nm0182539,Acting,Don Costello,,0.828
,,,1,,126072,nm0178889,Acting,Italia Coppola,,1.541
,,,2,,2870,nm0292875,Production,Gray Frederickson,,2.128
,,,2,,160621,nm0003003,Acting,Ron Gilbert,"New York City, New York, USA",3.053
,1930-07-21,2020-01-22,2,,1233541,nm0343780,Acting,Sonny Grosso,"Düsseldorf, Germany",2.948
,1918-01-04,2008-09-29,2,,20973,nm0348927,Acting,Louis Guss,"New York, New York",2.64
,1933-12-07,,2,,1068099,nm0432921,Acting,Randy Jurgensen,"New York, New York",3.251
,1947-05-06,,2,,55672,nm0268094,Acting,Tony King,"Canton, Ohio, USA",4.966
Tony Lipp,1930-07-30,2013-01-04,2,,61241,nm0513401,Acting,Tony Lip,,7.116
,1939-04-03,,2,,1503036,nm0342519,Acting,Joe Lo Grippo,,0.84
"Louis Azzara ",,,2,,106187,nm0553778,Acting,Lou Martini Jr.,,4.978
Ray Martino,,,2,,100503,nm0553937,Acting,Raymond Martino,,3.365
Father Joseph Medeglia,,,2,,1503035,nm0575453,Acting,Joseph Medaglia,,3.692
,,,1,,2313192,nm0605866,Acting,Carol Morley,"Ontario, Canada",0.6
,,,0,,1290895,nm0678385,Acting,Rick Petrucelli,,1.163
,,,2,,1237372,nm0724319,Acting,Sal Richards,,1.129
,1928-06-12,1991-04-12,2,,1213795,nm0743159,Acting,Tom Rosqui,"Oakland, California, USA",3.757
,1952-01-06,,2,,11480,nm0803370,Acting,Frank Sivero,,8.432
,,,0,,1209678,nm0816628,Acting,Filomena Spagnuolo,,3.017
,1936-10-28,1989-01-13,2,,16525,nm0818874,Acting,Joe Spinell,"Manhattan, New York",9.756
,,,2,,138211,nm0868442,Acting,Gabriele Torrei,,3.698
닉 발레롱가,1959-09-13,,2,,78336,nm0885014,Directing,Nick Vallelonga,"Bronx, New York, USA",3.746
,1919-10-08,2010-03-10,2,,1234848,nm0945192,Acting,Conrad Yama,"Fresno, California, USA",2.256
,1943-07-12,,2,,154,nm0004555,Editing,Walter Murch,"New York, New York, U.S.A.",2.919
"Фрэнсис Форд Коппола,فرانسيس فورد كوبولا,弗朗西斯·科波拉,ฟรานซิส ฟอร์ด คอปโปลา,フランシス・フォード・コッポラ,프랜시스 포드 코폴라,Thomas Colchart,Francis Coppola,프란시스 포드 코폴라,프랜시스 코폴라,프란시스 코폴라,Френсіс Форд Коппола",1939-04-07,,2,,1776,nm0000338,Directing,Francis Ford Coppola,"Detroit, Michigan, USA",11.916
,1934-05-22,,2,,2871,nm0740407,Production,Fred Roos,,3.692
,1910-06-11,1991-06-26,2,,2872,nm0178874,Sound,Carmine Coppola,"New York City, New York, USA",4.329
,1932-05-18,,2,,2875,nm0851790,Art,Dean Tavoularis,"Lowell, Massachusetts, USA",6.23
"Al Ruddy ",1930-03-28,,2,,457,nm0748665,Production,Albert S. Ruddy,"Montreal, Quebec, Canada",9.077
Louis Di Giaimo,,2015-12-19,2,,949,nm0226544,Production,Louis DiGiaimo,,1.266
,1935-11-21,2020-09-20,2,,1044,nm0152469,Camera,Michael Chapman,"New York City, New York, USA",2.996
,1920-10-15,1999-07-02,2,http://www.mariopuzo.com/,3083,nm0701374,Writing,Mario Puzo,"New York City, New York, USA",3.713
,1931-05-28,,2,,3097,nm0932336,Camera,Gordon Willis,"Astoria, New York, USA",1.784
"Giovanni ""Nino"" Rota Rinaldi,Nino Rotta,Nino Roto",1911-12-03,1979-04-10,2,,3098,nm0000065,Sound,Nino Rota,"Milano, Lombardia, Italia",2.745
,1910-06-14,1997-07-16,2,,3099,nm0722000,Editing,William Reynolds,"Elmira, New York, USA",1.4
,1919-07-24,2007-11-13,2,,3100,nm0957038,Editing,Peter Zinner,,2.69
,,,0,,3101,nm0247622,Production,Andrea Eastman,,0.6
"Charles 'Bud' Grenzbach,Bud Grenzbach",1923-12-29,2004-03-29,2,,3103,nm0340311,Sound,Charles Grenzbach,"New York City, New York, USA",0.709
"Christopher Newman,Chris Newman, CAS",1940-02-17,,2,,3104,nm0628039,Sound,Chris Newman,"New York City, New York, USA",2.716
,1934-04-02,2017-01-28,2,,3105,nm0692446,Sound,Richard Portman,"Los Angeles, U.S.A",1.814
,1942-04-07,,2,,6099,nm0210832,Production,Valerio De Paolis,"Turin, Piedmont, Italy",0.986
,1913-04-07,1992-10-16,1,,6851,nm0426895,Costume & Make-Up,Anna Hill Johnstone,"Greenville, South Carolina, USA",2.711
Phil Leto,,,0,,16194,nm0504717,Costume & Make-Up,Philip Leto,,0.766
,,,2,,10546,nm0303031,Production,Fred T. Gallo,,1.014
,,,0,,11789,nm0142301,Production,Fred C. Caruso,,3.134
,,,0,,14059,nm0064854,Crew,Sass Bedig,,1.72
"Herbert Buckman,Charles Hanger,James Munshin",1919-08-02,2002-06-23,2,,29389,nm0006274,Sound,Carlo Savina,"Turin, Piedmont, Italy",1.028
,1922-06-26,2014-07-30,2,,29654,nm0004615,Costume & Make-Up,Dick Smith,,2.685
,1923-02-22,,2,,30580,nm0809602,Art,Philip Smith,"Woodstock, Ohio",1.079
,,,0,,81519,nm0167428,Art,Warren Clymer,,2.03
,,,0,,81532,nm0628096,Costume & Make-Up,George Newman,,1.4
"Joe Lambardi ,Joseph J. Lombardi,Joseph Lombardi,Joe Lombardy",1923-06-24,1997-12-18,2,,96912,nm0518375,Crew,Joe Lombardi,,0.626
Nancy Tonery,,,1,,1511672,nm0394476,Directing,Nancy Hopton,,0.73
,,,0,,1518601,nm0722504,Costume & Make-Up,Phil Rhodes,,0.6
,1930-06-13,2009-07-25,2,,1625347,,Directing,Tony Brandt,"Rome, Lazio, Italy",0.824
,,,0,,1969191,,Art,Richard Adee,,0.84
,,,0,,3357584,,Production,Michael Briggs,,0.98
,,,0,,3606474,,Production,Tony Bowers,,1.029
,,,2,,4111358,nm0283166,Crew,A.D. Flowers,,0.6
,1958-10-16,,2,https://timrobbins.net/,504,nm0000209,Acting,Tim Robbins,"West Covina, California, USA",25.486
"Morgan Porterfield Freeman Jr.,Morgan J. Freeman,مورغان فريمان,모건 프리먼,モーガン・フリーマン,Морган Фриман,Морган Фримен,มอร์แกน ฟรีแมน,摩根·弗里曼,Μόργκαν Φρίμαν,مورگان فریمن,Морґан Фрімен,Μόργκαν Πόρτερφιλντ Φρίμαν Τζούνιορ",1937-06-01,,2,https://coflix.org/,192,nm0000151,Acting,Morgan Freeman,"Memphis, Tennessee, USA",65.893
"Боб Гантон,Μπομπ Γκάντον,Robert Patrick Gunton Jr.",1945-11-15,,2,,4029,nm0348409,Acting,Bob Gunton,"Santa Monica, California, USA",17.909
"William Thomas Sadler,Bill Sadler,Γουίλιαμ Σάντλερ",1950-04-13,,2,,6573,nm0006669,Acting,William Sadler,"Buffalo, New York, USA",10.706
"Clarence J. Brown III,Κλάνσι Μπράουν,克兰西·布朗",1959-01-05,,2,http://clancybrown.com,6574,nm0000317,Acting,Clancy Brown," Urbana, Ohio, U.S.",38.097
"Gill Bellows ",1967-06-28,,2,,6575,nm0004743,Acting,Gil Bellows,"Vancouver, British Columbia, Canada",14.394
James Allen Whitmore Jr.,1921-10-01,2009-02-06,2,,6577,nm0926235,Acting,James Whitmore,"White Plains, New York, USA",12.05
"Mark Ralston,Μαρκ Ρόλστον",1956-12-07,,2,,6576,nm0001679,Acting,Mark Rolston,"Baltimore, Maryland, USA",8.529
"Джеффри ДеМанн,Jeffrey De Munn,Jeff De Munn,Jeff DeMunn,Jeff Demunn,Jeffrey Demunn",1947-04-25,,2,,12645,nm0218810,Acting,Jeffrey DeMunn,"Buffalo, New York, USA",15.739
,1948-05-03,,2,,92119,nm0104594,Acting,Larry Brandenburg,"Wabasha, Minnesota, USA",6.909
Neil Gray Giuntoli,1959-12-20,,2,,168323,nm0321358,Acting,Neil Giuntoli,"Chicago, Illinois, USA",4.81
,1949-04-20,2018-07-03,2,,6580,nm0508742,Acting,Brian Libby,"Valeggio sul Mincio, Veneto, Verona, Italy",9.32
Clark Katz,1942-05-20,,2,,2555,nm0698998,Acting,David Proval,"Brooklyn, New York, U.S.",10.054
,1936-03-11,,2,,5063,nm0706554,Acting,Joseph Ragno,"Brooklyn, New York, USA",3.437
"Richard Jude Ciccolella ",1947-11-30,,2,http://www.judeciccolella.com/,8693,nm0161980,Acting,Jude Ciccolella,Burlington - Vermont - USA,10.107
"Paul Mc Crane,Paul David McCrane",1961-01-19,,2,,32393,nm0005204,Acting,Paul McCrane,"Philadelphia, Pennsylvania, USA",7.446
,,,0,,6578,nm0086169,Acting,Renee Blaine,,7.59
Scott Mann (I),,,2,http://scottmannphoto.com/,1624179,nm0542957,Acting,Scott Mann,,0.635
,,,2,,163979,nm0395612,Acting,John Horton,,2.464
Gordon C. Greene,,,0,,194459,nm2939075,Acting,Gordon Greene,,1.833
,1959-09-13,,2,,52603,nm0293285,Acting,Alfonso Freeman,"Los Angeles, California, USA",10.802
"VJ Foster,Vincent Jeffrey Foster,Jeff Foster,Vincent Foster",,,2,http://www.vjfoster.com/,122596,nm0288106,Acting,V.J. Foster,,2.118
,,,2,,2772979,,Acting,John E. Summers,,0.6
,1954-04-09,,2,,1216752,nm0535084,Acting,Frank Medrano,,7.402
Mack C. Miles,,,2,,139992,nm0587183,Acting,Mack Miles,,0.839
,,,0,,2772983,,Acting,Alan R. Kessler,,0.6
,,,2,,1853997,nm0526218,Acting,Morgan Lund,,2.542
,,,2,,2772985,nm0908581,Acting,Cornell Wallace,,2.049
Gary Davis,1946-01-02,,2,,32656,nm0204632,Acting,Gary Lee Davis,"Missouri, USA",4.098
"Neal Summers,Neil Summer,Neil Sommers",1944-04-28,,2,,179188,nm0838612,Acting,Neil Summers,"London, England, UK",12.61
"Ned Bellemy,Нед Беллами",1957-05-07,,2,,2141,nm0068709,Acting,Ned Bellamy," Dayton, Ohio, USA",7.104
"Joe Peck,Joseph Peck,Joseph Pecoraro",,,0,,2772989,,Acting,Joe Pecoraro,,0.6
,,,0,,2772990,,Acting,Harold E. Cope Jr.,,0.728
,1949-04-08,,2,,6579,nm0216507,Acting,Brian Delate,"Trenton, New Jersey, USA",2.083
Don R. McManus,1959-11-08,,2,,79025,nm0573134,Acting,Don McManus,"San Diego, California, USA",8.12
Donald E. Zinn,,,0,,2574896,,Acting,Donald Zinn,,0.6
,,,1,,1422439,nm0798685,Acting,Dorothy Silver,,1.889
,1942-08-16,,2,,123302,nm0355121,Acting,Robert Haley,"Didsbury, Alberta, Canada",2.019
,,,0,,2772991,,Acting,Dana Snyder,,0.6
,,,0,,2294531,,Acting,John D. Craig,,0.6
,1946-12-11,2015-12-31,2,,1537819,nm0535850,Acting,Ken Magee,"Texas, USA",1.865
"Eugene De Pasquale III,Eugene C. De Pasquale,Eugene De Pasquale,Eugene C. DePasquale III,Eugene DePasquale III,Eugene DePasquale,Eugene DePasqualle III,Eugene de Pasquale III",,,0,,2772995,,Acting,Eugene C. DePasquale,,0.6
,1940-11-14,,2,,105649,nm0092877,Acting,Bill Bolender,"	Chicago, Illinois",5.463
,,,2,,2779347,,Acting,Ron Newell,,0.972
"John Russell Woodward,John Woodward",1951-01-01,,2,,1123794,nm0003440,Directing,John R. Woodward,,2.077
,,,0,,2774986,,Acting,Chuck Brauchler,,0.884
,,,2,,91420,nm0026627,Acting,Dion Anderson,,3.42
,,,1,,2231406,,Acting,Claire Slemmer,,2.126
,1938-04-14,2017-11-27,2,,1634770,,Acting,James Kisicki,,2.98
,,,2,,27690,nm0859459,Acting,Rohn Thomas,,1.653
,,,2,,2774993,nm0443989,Acting,Charlie Kearns,,0.6
,,,0,,2774995,,Acting,Rob Reider,,0.868
,1959-03-20,,2,,48587,nm0112393,Acting,Brian Brophy,,4.184
,,,0,,2775011,nm0448271,Acting,Paul Kennedy,,0.6
제임스 밥슨,1974-10-24,,2,,25659,nm1186736,Acting,James Babson,"West Chester, Pennsylvania, USA",2.06
,,,2,,1771867,nm1042077,Crew,Dennis Baker,,0.652
,,,0,,1185588,nm0191355,Crew,Fred Culbertson,,0.629
,1970-06-13,,0,,92647,nm1115889,Acting,Alonzo F. Jones,"Providence, Rhode Island, USA",1.076
"Sergio Kato,Sergio Pereira,Sergio Luiz Pereira ",1960-07-15,,2,https://www.sergiokato.com,1337623,nm1415992,Acting,Sergio Kato,"Alem Paraiba, Minas Gerais, Brazil",4.845
"Gary Anthony Hickerson-Jones,Gary Jones (XLII)",,,2,,1636797,nm4688815,Acting,Gary A. Jones,"Cleveland, Ohio, USA",1.376
Tom Newman,1955-10-20,,2,,153,nm0002353,Sound,Thomas Newman,"Los Angeles, California, USA",4.024
"Sir Roger Deakins,Roger A. Deakins",1949-05-24,,2,https://www.rogerdeakins.com,151,nm0005683,Camera,Roger Deakins,"Torquay, Devon, England, UK",5.971
"Peter J. Smith,Peter John Smith,Peter Lansdown Smith,Peter Smith,Pete Smith",,,2,,2026,nm0809593,Art,Peter Landsdown Smith,,3.347
"Stephen Edwin King ,John Swithen,Richard Bachman,스티븐 킹,Beryl Evans,Στίβεν Κινγκ,Стивен Кинг",1947-09-21,,2,https://www.stephenking.com/,3027,nm0000175,Writing,Stephen King,"Portland, Maine, USA",20.228
"Debra Aquila,Deb Aquila ",,,1,,3965,nm0032597,Production,Deborah Aquila,,3.341
"Френк Дарабонт,Frank A. Darabont,Ardeth Bey,프랭크 다라본트",1959-01-28,,2,,4027,nm0001104,Writing,Frank Darabont,"Montbéliard, Doubs, France",14.642
,,,0,,4028,nm0555550,Production,Niki Marvin,,1.4
"Richard Francis Bruce,Richard Bruce",1948-12-10,,2,,6581,nm0290358,Editing,Richard Francis-Bruce,"Sydney, New South Wales, Australia",1.833
,,,0,,6583,nm0509056,Production,Julie Lichter,,0.796
Terry Marsh,1931-11-14,2018-01-09,2,,6584,nm0550671,Art,Terence Marsh,"London, England, UK",0.881
,,,2,,4054,nm0504434,Production,David V. Lester,,0.996
,1955-05-17,1997-06-16,1,,5710,nm0564296,Costume & Make-Up,Elizabeth McBride,,1.467
,,,2,,6801,nm0782661,Art,Michael Seirton,,1.286
,,,2,,7538,nm0077007,Sound,Bill Bernstein,,0.6
,,,0,,9444,nm0333727,Sound,Marilyn Graf,,1.173
,,,0,,40120,nm0125639,Camera,Brian 'Buzz' Buzzelli,,0.98
,,,1,,46347,nm0323065,Production,Liz Glotzer,,1.312
,,,1,,61381,nm0067981,Production,Sue Bea Montgomery,,1.178
,1946-01-01,,1,,74823,nm0724340,Directing,Sioux Richards,,0.728
,1971-11-29,,2,,77295,nm0425364,Directing,Jesse V. Johnson,"Winchester, England, UK",6.111
,,,0,,90148,nm3597748,Sound,Rick Canelli,,1.148
Ernest Malik,,,2,,91941,nm0539571,Crew,Ernie Malik,,5.123
,,,0,,106117,nm0770771,Acting,Thomas Schellenberg,,0.6
,,,2,,108147,nm0002811,Lighting,Jeremy Knaster,,0.6
Gerry Gatlin,1933-11-15,,2,,127314,nm0309702,Acting,Jerry Gatlin,"Colorado Springs, Colorado, USA",4.896
"David Leslie Johnson,David Johnson,Dave Johnson",,,2,,142686,nm0424901,Writing,David Leslie Johnson-McGoldrick,,4.084
David A. Orr,1949-01-08,,2,,159112,nm0650542,Editing,David Orr,"Los Angeles, California, USA",0.681
,,,2,,178698,,Acting,Tom Lent,,0.84
"Barbara Iley,Barbara Harriss,Barbara Iely",,,1,http://theloopinggroup.com,230436,nm0364456,Production,Barbara Harris,,4.002
Dan Barringer,,,0,,237921,nm0057460,Crew,Daniel W. Barringer,,1.373
,,,0,,589968,nm0358398,Camera,Bruce Hamme,,2.18
Monte Westmore,1923-06-12,2007-11-13,2,,957990,nm0922881,Costume & Make-Up,Monty Westmore,"Los Angeles, California, USA",1.175
,,,0,,1174976,nm0915906,Production,Linda Weaver,,0.6
,,,0,,1183381,nm0347408,Acting,Mickey Guinn,,1.159
"Thomas Alvin Morga ,Thomas Morga ,Thomas A. Morga",1941-11-27,,2,,1224156,nm0604426,Acting,Tom Morga,"Burbank, California, USA",2.229
,,,0,,1258175,nm1512836,Acting,Keith Shaw,,0.6
"Bobby Z,Bob Zajoc,Bobby 'Z' Zajonc,Bobby 'Zee' Zajonc,Bobby Zajonc,Bob Zajonc,Robert M. 'Bobby Z' Zajonc,Robert M. Zajonc,Robert Zajonc",1947-02-07,,2,,1278542,nm0952174,Crew,Robert 'Bobby Z' Zajonc,"Washington, USA",1.787
,,,0,,1311828,nm0930131,Visual Effects,Bob Williams,,0.665
Kevin C. Haney,,,0,,1319490,nm0359790,Costume & Make-Up,Kevin Haney,,1.176
,,,0,,1325119,nm0605064,Sound,Tommy Morgan,,0.656
,,,0,,1343721,nm5880521,Production,Tom Cotter,,0.6
,,,0,,1347724,,Acting,Robert Barnett,,0.6
"Kevin Bartnoff,Kevin Bartonf,Kevin Burtnof",1958-04-04,2001-06-30,2,,1376818,nm0058967,Sound,Kevin Bartnof,,0.638
Marvin Lewis,,2012-09-22,2,,1378229,nm0507527,Sound,Marvin E. Lewis,,1.613
,,,0,,1380704,nm0496600,Costume & Make-Up,Taneia Lednicky,,0.6
,,,2,http://www.militophoto.com,1392236,nm0587510,Art,Sebastian Milito,"Brooklyn, New York, USA",0.6
Dave Marder,,,2,,1392250,nm0546270,Crew,David Marder,,0.694
,,,0,,1400821,nm0852883,Visual Effects,Melissa Taylor,,0.6
,,,2,,1401262,nm0359357,Crew,Dick Hancock,,2.112
,,,0,,1401997,nm0641568,Lighting,Bill O'Leary,,0.84
,,,0,,1405708,nm0329998,Art,Antoinette J. Gordon,,0.764
"Dennis Sanda,Dennis Sands",,,2,,1413169,nm0762304,Sound,Dennis S. Sands,,0.829
,,,1,,1424155,nm0045344,Sound,Petra Bach,,0.6
,,,0,,1432028,nm0025346,Production,Kokayi Ampah,,0.6
John M. Stacy,,,2,,1455403,nm0821089,Sound,John Stacy,,0.6
"Richard Ford,Rich Ford",,,2,,1464521,nm0285842,Lighting,Richie Ford,,0.84
,,,0,,1470182,nm0117474,Costume & Make-Up,Roy Bryson,,0.6
"Paul Zydel ",,,0,,1541839,nm0904520,Sound,Paul J. Zydel,,0.6
"Willie Burton,Willis D. Burton,Willy Burton",,,2,,1546115,nm0123770,Sound,Willie D. Burton,,1.691
,1945-10-20,,2,,1549209,,Sound,Thomas Pasatieri,"New York City, New York, USA",0.6
,,,2,,1551320,,Sound,Jack Keller,,0.732
,,,0,,1558250,,Editing,Robert C. Lusted,,1.442
,,,0,,1573081,,Camera,Andy Harris,,1.4
,,,0,,1611791,,Crew,Alan Jacques,,1.004
,,,0,,1621232,,Crew,Earl F. Betts,,1.4
,,,0,,1637031,,Sound,Arlene Fishbach,,1.128
,,,0,,1712066,,Camera,Michael P. Weinstein,,0.694
,,,0,,1771822,,Art,Rhonda Yeater,,0.6
,,,0,,1771823,,Art,Jack Evans,,0.6
,,,0,,1771824,,Art,Dixwell Stillman,,1.284
,,,0,,1771825,,Art,Blair Gibeau,,0.6
,,,0,,1771827,,Art,Todd Hatfield,,0.6
,,,2,,1771830,nm0114561,Camera,Robin Brown,,1.4
"Donald Cerrone,Don Cearone",,,2,,1771831,nm0148804,Camera,Don Cerrone,,0.6
,,,0,,1771832,,Camera,Gerrit Dangremond,,0.78
,,,0,,1771834,,Costume & Make-Up,Carol Buckler,,0.6
,,,0,,1771836,,Costume & Make-Up,Jack Hering,,0.6
,,,0,,1771838,,Costume & Make-Up,Paul Wells,,0.6
,,,0,,1771839,,Crew,Brian Boggs,,1.008
,,,0,,1771840,,Crew,Robert Conrad,,0.6
,,,0,,1771841,,Crew,Dan Goldwasser,,1.034
,,,0,,1771842,,Crew,Hope A. Nielsen,,0.828
,,,0,,1771843,,Crew,Mario Simon,,0.857
,,,0,,1771844,,Production,Beth Hickman,,0.608
,,,0,,1771847,,Art,Tom Shaw Jr.,,0.652
,,,0,,1771855,,Crew,Van Scarboro,,0.6
Patty Galvin,,,0,,1771858,,Editing,Patricia A. Galvin,,0.732
,,,0,,1771859,,Lighting,Kurt Dale Hartman,,0.6
,,,0,,1771861,,Lighting,Rex Buckingham,,0.6
"Ramona Sanchez Waggoner,Ramona Diaz-Sanchez,Ramona Sanchez,Ramona Diaz Sanchez",,,1,,1771862,nm0845216,Production,Ramona Sánchez-Waggoner,,0.6
,,,0,,1771864,,Sound,Lori Martino,,0.828
Donnie McFinnely,,,0,,1820906,,Costume & Make-Up,Donnie McFinely,,0.828
James Ellis,,,0,,1881627,,Directing,James Ellis Deakins,,1.079
,,,0,,1884260,,Crew,Joe Schultz,,1.456
Margaret Orlando,,,1,,1904511,nm0650004,Production,Margaret J. Orlando,,0.6
,,,0,,1924139,,Sound,Shelley Rae Hinton,,0.6
,,,0,,1978728,,Crew,Kzar Torres,,1.052
,,,0,,1978729,,Crew,Lee Tassef,,0.84
,,,0,,1978730,,Crew,Eve Lapolla,,0.656
,,,0,,1978731,,Crew,Richard Hall,,0.6
,,,0,,1978732,,Crew,Allen Greene,,1.268
,,,0,,1978733,,Crew,Manny Centeno,,0.972
,,,0,,1978734,,Crew,Saxon Eldridge,,0.694
,,,0,,1978735,,Crew,Michael Vasquez,,0.6
,,,0,,1978736,,Crew,Amie Tschappat,,0.6
,,,0,,1978737,,Crew,Don Speakman,,0.6
,,,0,,1978738,,Crew,Mark Moelter,,0.6
,,,0,,1978739,,Crew,David McQuade,,1.353
,,,0,,1978740,,Crew,Karin Mercurio,,1.361
,,,0,,1978742,,Crew,Sophia Xixis,,0.732
,,,0,,1978744,,Production,Jane Estocin,,0.656
,,,0,,1978745,,Crew,Therese Amadio,,0.6
,,,0,,1978746,,Crew,Chip Vincent,,0.972
"Dave Turner,David J. Turner",,,2,,1978749,nm0877497,Crew,David Turner,,0.972
,,,0,,1978751,,Crew,J.D. Thomas,,0.656
,,,0,,1978754,,Crew,Donald Snyder,,0.6
,,,0,,1978756,,Crew,Scott Ruetenik,,0.608
"Tommy O'Connell,Tom O'Connell",,,2,,1994224,nm0640176,Sound,Thomas J. O'Connell,,1.763
,,,2,,2063034,nm0807886,Crew,David Smith,,0.656
"G. Phillip Ivey,Philip 'Mr. P' Ivey,Phillip 'Mr. P' Ivey,Phillip 'Mr. P.' Ivey,Phillip Ivey",,,2,,2095763,nm0412396,Costume & Make-Up,Philip Ivey,,0.828
,,,0,,2158129,,Camera,Keith Bunting,,1.018
"Bruce E. Bell,Bruce R. Bell",,,2,,2226062,nm0068084,Sound,Bruce Bell,,0.6
"A. Michael Learner ,Allen Michael Lerner,Michael Allen Lerner,Michael Lerner",,,2,,2231423,nm0503583,Crew,A. Michael Lerner,,3.865
,,,0,,2243523,,Production,Kelley Baker,,0.698
