title,year,imdbid,id,rating
"Living Playing Cards, The",1904,0135179,5404,0
"Untamable Whiskers, The",1904,0135631,5601,0
Le voyage a travers l&#39;impossible,1904,0000499,6135,0
"Scheming Gambler&#39;s Paradise, The",1905,0135690,5003,0
"Black Imp, The",1905,0215575,5602,0
"Story of the Kelly Gang, The",1906,0000574,1349,1
"Mysterious Retort, The",1906,0216016,5024,0
Humorous Phases of Funny Faces,1906,0000554,5435,0
"Hilarious Posters, The",1906,0135122,5603,0
"400 Tricks of the Devil, The",1906,0000567,5684,0
A Funny Shave,1906,0449172,6206,0
"Consequence of Feminism, The",1906,1260944,7215,0
"Eclipse: Courtship of the Sun and Moon, The",1907,0215737,5223,0
Good Glue Sticks,1907,0215817,5615,0
Unusual Cooking,1908,1802750,6231,0
"Princess Nicotine; or, The Smoke Fairy",1909,0001009,4409,2
"Devilish Tenant, The",1909,0127948,5635,0
Le barometre de la fidelite,1909,0277596,6211,1
Tilly the Tomboy Visits the Poor,1910,0232821,1464,3
Mobilier fidele,1910,0486978,4983,0
A Trip to Mars,1910,1515725,5685,0
Cleopatra,1912,0002101,2003,2
"Invaders, The",1912,0002281,2005,0
Max and the Donkey,1912,0277865,5357,0
"Voyage of the Bourrichon Family, The",1913,0003512,5364,0
Suspense,1913,0003424,5915,0
A Florida Enchantment,1914,0003973,4457,2
"Birth of a Nation, The",1915,0004972,1258,2
Gretchen the Greenhorn,1916,0006745,2008,3
Lady Windermere&#39;s Fan,1916,0279914,2014,3
"Vagabond, The",1916,0007507,5368,0
Intolerance: Love&#39;s Struggle Throughout the Ages,1916,0006864,5944,0
Snow White,1916,0007361,7004,3
A Tale of Two Cities,1917,0008652,1981,3
Rebecca of Sunnybrook Farm,1917,0008499,1993,3
"Poor Little Rich Girl, The",1917,0008443,1994,3
A Romance of the Redwoods,1917,0008519,2015,0
"Raffles, the Amateur Cracksman",1917,0008489,2019,2
Tarzan of the Apes,1918,0009682,1996,3
Stella Maris,1918,0009652,2007,3
Are Crooks Dishonest?,1918,0008844,5441,0
Ich mochte kein Mann sein,1918,0010281,7108,3
When the Clouds Roll by,1919,0010879,2018,3
Broken Blossoms or The Yellow Man and the Girl,1919,0009968,2588,0
"Cabinet of Dr. Caligari, The",1920,0010323,1306,0
Pollyanna,1920,0011588,1991,3
Within Our Gates,1920,0011870,5948,3
Orphans of the Storm,1921,0012532,1263,3
"Kid, The",1921,0012349,3945,0
"Blot, The",1921,0011979,4204,3
K&ouml;rkarlen (The Phantom Carriage),1921,0012364,5898,2
"Nosferatu, eine Symphonie des Grauens",1922,0013442,1307,2
"Phantom, The",1922,0013496,1631,2
Nathan der Weise,1922,0013428,1778,2
"Man from Beyond, The",1922,0013367,2001,1
H&auml;xan: Witchcraft Through the Ages,1922,0013257,3800,3
"Paleface, The",1922,0012543,5361,0
Nanook of the North,1922,0013427,5901,1
Foolish Wives,1922,0013140,5958,3
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,0013086,5967,3
Safety Last!,1923,0014429,1961,0
Why Worry?,1923,0014611,1967,0
"Silent Command, The",1923,0014469,1998,2
La souriante Madame Beudet,1923,0013626,5888,3
Our Hospitality,1923,0014341,5949,0
A Woman of Paris,1923,0014624,8947,2
Die Nibelungen,1924,0015175,1337,2
Kriemhild&#39;s Revenge,1924,0015174,1338,2
"Thief of Bagdad, The",1924,0015400,1264,0
Wild Oranges,1924,0015498,1960,0
"Navigator, The",1924,0015163,2009,0
Sherlock Jr.,1924,0015324,2011,0
Girl Shy,1924,0014945,2016,0
Manhandled,1924,0015116,2020,3
"Great White Silence, The",1924,1764657,2413,0
Help!,1924,0013845,6209,0
Greed,1924,0015881,8458,3
"Phantom of the Opera, The",1925,0016220,1305,2
Battleship Potemkin,1925,0015648,1308,0
"Gold Rush, The",1925,0015864,1309,0
Go West,1925,0015863,1978,0
"Freshman, The",1925,0015841,2012,0
Seven Chances,1925,0016332,3077,0
"Lost World, The",1925,0016039,5514,2
"Big Parade, The",1925,0015624,5962,2
Stachka,1925,0015361,5991,0
"Temptress, The",1926,0017449,1334,1
Flesh and the Devil,1926,0016884,1260,1
"General, The",1926,0017925,1310,0
For Heaven&#39;s Sake,1926,0016895,1966,0
So&#39;s Your Old Man,1926,0017410,3217,3
Die Abenteuer des Prinzen Achmed,1926,0015532,5974,1
It,1927,0018033,1227,3
Metropolis,1927,0017136,1267,1
Abel Gance&#39;s Napoleon,1927,0018192,1312,2
"Unknown, The",1927,0018528,1311,0
Sunrise: A Song of Two Humans,1927,0018455,1632,2
"Kid Brother, The",1927,0018051,1964,0
Nevada,1927,0018199,1982,0
My Best Girl,1927,0018183,2010,3
Wings,1927,0018578,3118,1
"Jazz Singer, The",1927,0018037,5975,1
Downhill [When Boys Leave Home],1927,0017825,7324,1
"Passion of Joan of Arc, The",1928,0019254,1314,0
Speedy,1928,0019412,1963,0
"Circus, The",1928,0018773,1968,0
"Cameraman, The",1928,0018742,1970,0
"Steamboat Bill, Jr.",1928,0019421,1971,0
"Racket, The",1928,0019304,1972,0
Beggars of Life,1928,0018684,1977,0
"Power of the Press, The",1928,0019290,1979,1
A Girl in Every Port,1928,0018937,1980,0
"Patsy, The",1928,0019258,2013,3
While the City Sleeps,1928,0019571,2017,2
"Man Who Laughs, The",1928,0019130,2021,2
"Crowd, The",1928,0018806,5912,1
"Docks of New York, The",1928,0018839,5984,2
Our Dancing Daughters,1928,0019237,9314,2
Un chien andalou,1929,0020530,1313,0
"Cocoanuts, The",1929,0019777,1953,2
Welcome Danger,1929,0020572,1962,0
Pandora&#39;s Box (Die B&uuml;chse der Pandora),1929,0018737,2324,3
Man with a Movie Camera,1929,0019760,3897,0
Blackmail,1929,0019702,5979,2
Throw of the Dice,1929,0020286,6046,0
Juno and the Paycock [The Shame of Mary Boyle],1929,0021015,7287,3
Broadway Melody,1929,0019729,8464,3
"Blue Angel, The",1930,0020697,1315,1
All Quiet on the Western Front,1930,0020629,1316,0
Anna Christie,1930,0020641,1326,3
Ladies of Leisure,1930,0021040,3713,3
L&#39;Age d&#39;Or,1930,0021577,3871,0
Morocco,1930,0021156,3865,1
Min and Bill,1930,0021148,3927,3
Be Yourself,1930,0020670,4253,2
"Bat Whispers, The",1930,0020668,6782,3
Murder!,1930,0021165,7291,3
Animal Crackers,1930,0020640,8463,3
M,1931,0022100,610,3
M&auml;dchen in Uniform,1931,0022183,628,3
Night Nurse,1931,0022208,636,3
Frankenstein,1931,0021884,1317,1
Anna Christie,1931,0020642,1327,3
Mata Hari,1931,0023196,1333,3
Tabu: A Story of the South Seas,1931,0022458,1633,0
Indiscreet,1931,0022000,1828,3
"Last Flight, The",1931,0022054,1956,0
Pardon Us,1931,0022251,1974,0
Dracula,1931,0021814,1985,2
Monkey Business,1931,0022158,2384,1
City Lights,1931,0021749,2705,3
"Smiling Lieutenant, The",1931,0022074,4243,2
"Cheat, The",1931,0021735,5741,3
"Public Enemy, The",1931,0022286,5934,3
La Chienne,1931,0021739,6030,3
A Nous la Liberte,1931,0022599,6031,1
Little Caesar,1931,0021079,6043,1
"Skin Game, The",1931,0022395,7294,3
Rich and Strange [East of Shanghai],1931,0023395,7296,2
Dracula,1931,0021815,8213,3
Cimarron,1931,0021746,8467,3
Hyppolit a lakaj,1931,0021985,8557,1
Skippy,1931,0022397,9095,3
"Champ, The",1931,0021730,9110,1
I Am a Fugitive from a Chain Gang,1932,0023042,1318,1
Grand Hotel,1932,0022958,1328,3
"Age of Consent, The",1932,0022614,1983,2
Horse Feathers,1932,0023027,2383,1
White Zombie,1932,0023694,2550,0
Boudu Saved from Drowning,1932,0022718,2767,1
"I Was Born, But...",1932,0023634,3530,1
"Most Dangerous Game, The",1932,0023238,3658,0
Freaks,1932,0022913,3659,2
Island of Lost Souls,1932,0024188,3844,1
"Old Dark House, The",1932,0023293,4775,3
Merrily We Go to Hell,1932,0023213,5742,3
"Girl from Calgary, The",1932,0022940,5783,2
Vampyr,1932,0023649,5910,3
Shanghai Express,1932,0023458,5929,3
Three on a Match,1932,0023590,6051,3
Love Me Tonight,1932,0023158,6052,2
Scarface,1932,0023427,6063,1
Red-Headed Woman,1932,0023385,6092,3
"Death Kiss, The",1932,0023935,6176,1
Thirteen Women,1932,0023582,6852,3
"Blue Light (Das Blaue Licht), The",1932,0022694,6990,1
Number 17,1932,0023285,7301,0
"Bitter Tea of General Yen, The",1932,0023814,10705,3
Footlight Parade,1933,0024028,802,3
Queen Christina,1933,0024481,1330,3
"Private Life of Henry VIII., The",1933,0024473,1248,1
King Kong,1933,0024216,2229,0
Little Women,1933,0024264,2231,3
Alice in Wonderland,1933,0023753,3188,3
"Vampire Bat, The",1933,0024727,3210,3
42nd Street,1933,0024034,4335,3
Day of Reckoning,1933,0023932,5029,3
Duck Soup,1933,0023969,5185,1
Tomorrow at Seven,1933,0024679,5752,3
Gold Diggers of 1933,1933,0024069,5916,3
Female,1933,0024008,6056,3
A Study in Scarlet,1933,0024625,6193,3
"Peanut Vendor, The",1933,0024432,6205,0
"Invisible Man, The",1933,0024184,7450,1
Baby Face,1933,0023775,7528,3
Design for Living,1933,0023940,8346,1
Cavalcade,1933,0023876,8477,3
"Kennel Murder Case, The",1933,0024210,10492,1
She Done Him Wrong,1933,0024548,10702,2
Sons of the Desert,1933,0024601,10714,3
It Happened One Night,1934,0025316,621,3
"Cat&#39;s-Paw, The",1934,0024961,1324,1
"Scarlet Empress, The",1934,0025746,1325,3
"Painted Veil, The",1934,0025617,1329,1
"Count of Monte Cristo, The",1934,0025004,1246,1
Cleopatra,1934,0024991,1270,1
Of Human Bondage,1934,0025586,1379,1
L&#39;atalante,1934,0024844,1795,0
"Lost Patrol, The",1934,0025423,1969,0
Spitfire,1934,0025822,4443,3
Maniac,1934,0025465,4702,3
Anne of Green Gables,1934,0024831,5319,3
Lost in the Stratosphere,1934,0025424,5523,2
Search for Beauty,1934,0025755,5821,3
Evelyn Prentice,1934,0025091,6772,3
"Man Who Knew Too Much, The",1934,0025452,7304,3
Imitation of Life,1934,0025301,7999,3
Mystery Liner,1934,0025543,8653,0
Top Hat,1935,0027125,595,2
"39 Steps, The",1935,0026029,1242,3
Anna Karenina,1935,0026071,1261,2
Mutiny on the Bounty,1935,0026752,1361,1
Naughty Marietta,1935,0026768,1685,3
Roberta,1935,0026942,2362,3
Magnificent Obsession,1935,0026667,2756,3
A Night At The Opera,1935,0026778,3881,1
"Bride of Frankenstein, The",1935,0026138,3891,3
"Lady in Scarlet, The",1935,0026599,5750,2
"Riverside Murder, The",1935,0026939,5913,2
Mad Love,1935,0026663,7998,2
Swing Time,1936,0028333,596,1
Modern Times,1936,0027977,1323,0
"Charge of the Light Brigade, The",1936,0027438,1237,1
San Francisco,1936,0028216,1359,1
Wife vs. Secretary,1936,0028505,1360,2
"Petrified Forest, The",1936,0028096,1369,3
Mr. Deeds Goes to Town,1936,0027996,1992,3
Born to Dance,1936,0027387,2363,3
Revolt of the Zombies,1936,0028174,2554,0
Earthworm Tractors,1936,0027562,2699,1
Osaka Elegy,1936,0028021,2853,3
Theodora Goes Wild,1936,0028355,3280,3
"Great Ziegfeld, The",1936,0027698,3401,3
"Mandarin Mystery, The",1936,0029207,3548,3
"Only Son, The",1936,0027752,3560,3
Camille,1936,0028683,3598,3
Pennies from Heaven,1936,0028092,4010,3
Romeo and Juliet,1936,0028203,4069,3
Bullets or Ballots,1936,0027407,4143,3
My Man Godfrey,1936,0028010,5852,2
Sabotage,1936,0028212,5926,3
Fury,1936,0027652,6096,2
Murder at Glen Athol,1936,0028000,6174,3
Il caso Valdemar,1936,3427056,6210,0
These Three,1936,0028356,7227,2
Secret Agent,1936,0028231,7308,3
Dracula&#39;s Daughter,1936,0027545,7992,3
Shall We Dance,1937,0029546,597,1
Stage Door,1937,0029604,631,3
Stella Dallas,1937,0029608,795,3
Conquest,1937,0028739,1332,2
Topper,1937,0029682,1335,2
Lost Horizon,1937,0029162,1336,2
"Prisoner of Zenda, The",1937,0029442,1240,1
Knight Without Armor,1937,0029087,1244,2
Parnell,1937,0029377,1358,2
Snow White and the Seven Dwarfs,1937,0029583,1976,3
A Day at the Races,1937,0028772,2382,2
Nothing Sacred,1937,0029322,3968,0
Make Way for Tomorrow,1937,0029192,4255,3
Murder at the Baskervilles (Silver Blaze),1937,0029565,5617,1
Pepe le Moko,1937,0029453,5740,2
"Awful Truth, The",1937,0028597,6554,3
"Girl Was Young, The",1937,0029811,7317,3
Marked Woman,1937,0029217,7877,3
"Bizarre, Bizarre",1937,0027552,8473,3
"Life of Emile Zola, The",1937,0029146,8478,1
Wee Willie Winkie,1937,0029751,10352,3
Carefree,1938,0029971,594,2
"Lady Vanishes, The",1938,0030341,620,3
Holiday,1938,0030241,994,3
"Dawn Patrol, The",1938,0030044,1238,0
Jezebel,1938,0030287,1367,2
"Sisters, The",1938,0030755,1378,2
Boys Town,1938,0029942,2467,0
"Mr. Wong, Detective",1938,0030473,2590,1
"Adventures of Robin Hood, The",1938,0029843,3103,2
Bluebeard&#39;s Eighth Wife,1938,0029929,3283,2
Bringing Up Baby,1938,0029947,3400,3
Four Daughters,1938,0030149,3951,3
"Mad Miss Manton, The",1938,0030396,4495,3
"Baker&#39;s Wife, The",1938,0030127,6042,1
Angels with Dirty Faces,1938,0029870,7290,1
"Wizard of Oz, The",1939,0032138,174,3
Gone with the Wind,1939,0031381,291,3
Dodge City,1939,0031235,383,2
"Women, The",1939,0032143,588,3
Stagecoach,1939,0031971,593,3
Wuthering Heights,1939,0032145,1239,2
"Goodbye, Mr. Chips",1939,0031385,1245,2
Ninotchka,1939,0031725,1259,3
Juarez,1939,0031516,1368,2
Dark Victory,1939,0031210,1370,3
Essex and Elizabeth,1939,0031826,1371,2
Young Mr. Lincoln,1939,0032155,1382,2
Jesse James,1939,0031507,1383,2
Drums Along the Mohawk,1939,0031252,1384,2
"Story of Alexander Graham Bell, The",1939,0031981,1385,2
"Flying Deuces, The",1939,0031322,1973,0
"Hunchback of Notre Dame, The",1939,0031455,2086,0
At the Circus,1939,0031060,2372,2
"Gorilla, The",1939,0031387,2555,3
Mr. Wong in Chinatown,1939,0031680,2622,1
Of Mice and Men,1939,0031742,2851,1
"Rules of the Game, The",1939,0031885,3089,3
Babes in Arms,1939,0031066,3723,3
Destry Rides Again,1939,0031225,5634,3
Nancy Drew... Reporter,1939,0031709,5763,3
"Adventures of Sherlock Holmes, The",1939,0031022,5863,3
Mr. Smith Goes to Washington,1939,0031679,5946,2
Jamaica Inn,1939,0031505,7322,3
Le jour se l&egrave;ve,1939,0031514,8098,2
Gulliver&#39;s Travels,1939,0031397,8511,0
Love Affair,1939,0031593,9038,3
Pinocchio,1940,0032910,478,1
Rebecca,1940,0032976,618,3
"Thief of Bagdad, The",1940,0033152,1265,0
"Mortal Storm, The",1940,0032811,1501,3
Comrade X,1940,0032349,1355,2
Boom Town,1940,0032273,1356,1
Strange Cargo,1940,0033105,1357,0
"Return of Frank James, The",1940,0032983,1366,0
"All This, and Heaven Too",1940,0032194,1373,2
"Letter, The",1940,0032701,1380,2
"Grapes of Wrath, The",1940,0032551,1387,3
A Chump at Oxford,1940,0032339,1975,0
"Ape, The",1940,0032215,2556,3
Santa Fe Trail,1940,0033021,2678,1
His Girl Friday,1940,0032599,3033,3
"Sea Hawk, The",1940,0033028,3050,3
"Great Dictator, The",1940,0032553,3470,3
Pride and Prejudice,1940,0032943,4257,3
Primrose Path,1940,0032946,4354,3
Chamber of Horrors / Door with the Seven Locks,1940,0032406,4363,2
"Dance, Girl, Dance",1940,0032376,4415,3
"Philadelphia Story, The",1940,0032904,4943,3
Fantasia,1940,0032455,5039,0
Anne Of Windy Poplars,1940,0032211,5320,3
Gaslight,1940,0031359,5773,3
"Last Alarm, The",1940,0032690,5802,3
Foreign Correspondent,1940,0032484,7311,1
"Shop Around the Corner, The",1940,0033045,7861,3
Knute Rockne All American,1940,0032676,8480,1
Two-Faced Woman,1941,0034328,1331,2
"Shanghai Gesture, The",1941,0034175,1512,3
"Maltese Falcon, The",1941,0033870,1230,1
Citizen Kane,1941,0033467,1266,1
Dumbo,1941,0033563,1117,2
"Little Foxes, The",1941,0033836,1372,2
"Lady Eve, The",1941,0033804,1386,2
"Devil and Miss Jones, The",1941,0033533,1682,3
Mr. Bug Goes to Town,1941,0033727,1941,1
High Sierra,1941,0033717,2410,1
"Wolf Man, The",1941,0034398,2436,2
Cheers for Miss Bishop,1941,0033459,2446,3
Men of Boys Town,1941,0033902,2468,1
49th Parallel,1941,0033627,2867,0
Buck Privates,1941,0033436,2906,3
Hold That Ghost,1941,0033723,2910,3
Meet John Doe,1941,0033891,3717,3
Sullivan&#39;s Travels,1941,0034240,4359,3
Murder by Invitation,1941,0033928,6171,3
Ladies In Retirement,1941,0033802,6318,1
Suspicion,1941,0034248,7329,3
Sun valley serenade,1941,0034241,8625,0
How Green Was My Valley,1941,0033729,8983,3
"Reluctant Dragon, The",1941,0034091,9025,3
King of the Zombies,1941,0033787,9192,3
Ball of Fire,1941,0033373,10347,2
"Major and the Minor, The",1942,0035019,681,3
"Now, Voyager",1942,0035140,689,3
Casablanca,1942,0034583,1076,1
"Magnificent Ambersons, The",1942,0035015,1289,2
Bambi,1942,0034492,1116,1
Son of Fury: The Story of Benjamin Blake,1942,0035360,1388,1
For Me and My Gal,1942,0034746,1675,3
I Married an Angel,1942,0034882,1686,3
Cat People,1942,0034587,2708,3
Black Dragons,1942,0034521,3518,0
There Was a Father,1942,0034591,3789,0
Tales of Manhattan,1942,0035415,3875,2
"Man Who Came to Dinner, The",1942,0033874,4475,3
Woman of the Year,1942,0035567,4870,3
To Be or Not to Be,1942,0035446,5303,0
Sherlock Holmes and the Secret Weapon,1942,0035317,5859,1
Saboteur,1942,0035279,5938,1
Saboteur,1942,0035279,5939,1
Mrs. Miniver,1942,0035093,6384,3
Saludos Amigos,1942,0036326,7696,0
"Corpse Vanishes, The",1942,0034613,7697,1
"Gay Sisters, The",1942,0034770,10343,3
Old Acquaintance,1943,0036230,1374,3
Watch on the Rhine,1943,0036515,1375,3
Girl Crazy,1943,0035942,1691,1
I Walked with a Zombie,1943,0036027,1955,3
"Sky&#39;s the Limit, The",1943,0036363,1959,1
Sahara,1943,0036323,1987,0
Guadalcanal Diary,1943,0035957,1988,0
Tender Comrade,1943,0036418,2407,3
Day of Wrath,1943,0036506,3753,3
"Life and Death of Colonel Blimp, The",1943,0036112,3839,2
Le Corbeau: The Raven,1943,0035753,3890,3
Shadow of a Doubt,1943,0036342,4617,3
Judo Saga (Sanshiro Sugata),1943,0036400,4699,0
Cry &#39;Havoc&#39;,1943,0035770,5209,3
Fires Were Started,1943,0035881,5554,0
"Ox-Bow Incident, The",1943,0036244,6310,1
So Proudly We Hail!,1943,0036367,6315,3
Jane Eyre,1943,0036969,6781,3
"More the Merrier, The",1943,0036172,7410,1
La main du diable,1943,0035017,7475,1
Angels of Sin,1943,0035636,7834,3
"Seventh Victim, The",1943,0036341,8090,3
China,1943,0035735,8501,3
Ossessione,1943,0035160,8801,1
Millions Like Us,1943,0036160,10283,3
Arsenic and Old Lace,1944,0036613,201,3
Double Indemnity,1944,0036775,1416,3
Mr. Skeffington,1944,0037094,1376,2
Meet Me in St. Louis,1944,0037059,1676,3
Hail the Conquering Hero,1944,0036891,1683,2
Torment,1944,0036914,2045,0
Window in the Window,1944,0037469,2181,1
Laura,1944,0037008,2715,3
Cover Girl,1944,0036723,3134,3
Since You Went Away,1944,0037280,3154,3
To Have and Have Not,1944,0037382,3245,3
I&#39;ll Be Seeing You,1944,0036940,3279,3
National Velvet,1944,0037120,4222,3
"Most Beautiful (Ichiban utsukushiku), The",1944,0036947,4698,3
Lifeboat,1944,0037017,5983,3
"Three Caballeros, The",1944,0038166,6319,0
Minstrel Man,1944,0037076,6420,1
A Canterbury Tale,1944,0036695,6515,3
"Uninvited, The",1944,0037415,9270,3
Die Feuerzangenbowle,1944,0036818,9718,1
Mildred Pierce,1945,0037913,794,3
I Know Where I&#39;m Going,1945,0037800,1213,3
"Seventh Veil, The",1945,0038924,1280,3
Brief Encounter,1945,0037558,1544,3
Along Came Jones,1945,0037508,1639,0
Isle of the Dead,1945,0037820,2004,3
"Enchanted Cottage, The",1945,0037671,2434,3
"Objective, Burma!",1945,0037954,3271,0
"Lost Weekend, The",1945,0037884,3583,2
Detour,1945,0037638,3999,1
Spellbound,1945,0038109,4252,3
"Rome, Open City",1945,0038890,4428,3
Scarlet Street,1945,0038057,5081,3
Children of Paradise,1945,0037674,5129,2
Keep Your Powder Dry,1945,0037843,5677,3
"Woman in Green, The",1945,0038259,5856,3
Anchors Aweigh,1945,0037514,6017,0
Thin Man Goes Home,1945,0037365,6848,2
"Red Dragon, The",1945,0038017,6945,1
Dead of Night,1945,0037635,7185,3
Les dames du Bois de Boulogne,1945,0037630,7835,3
"Wicked Lady, The",1945,0038250,9005,3
Leave Her to Heaven,1945,0037865,10235,3
"Corn Is Green, The",1945,0037614,10345,3
"Bells of St Mary&#39;s, The",1945,0037536,10666,3
Notorious,1946,0038787,622,2
"Harvey Girls, The",1946,0038589,786,3
"Big Sleep, The",1946,0038355,971,1
"Postman Always Rings Twice, The",1946,0038854,1424,1
Stairway to Heaven,1946,0038733,1231,0
Beauty and the Beast,1946,0038348,1268,3
Deception,1946,0038461,1377,0
Devotion,1946,0038474,1381,3
Two Sisters from Boston,1946,0039054,1680,3
It&#39;s a Wonderful Life,1946,0038650,2235,3
"Jolson Story, The",1946,0038661,2654,1
Gilda,1946,0038559,2809,0
"Strange Woman, The",1946,0038990,3145,3
My Darling Clementine,1946,0038762,3783,1
"Best Years of Our Lives, The",1946,0036868,3982,2
Dressed to Kill,1946,0038494,4002,3
Duel in the sun,1946,0038499,4900,2
"Chase, The",1946,0038409,5497,1
Song of the South,1946,0038969,5646,2
Terror by Night,1946,0039017,5872,1
"Dark Corner, The",1946,0038453,5961,1
"Stranger, The",1946,0038991,7671,3
Make Mine Music,1946,0038718,8052,1
"Years Between, The",1946,0039112,8354,3
Great Expectations,1946,0038574,9182,2
She-Wolf of London,1946,0038934,10597,3
Black Narcissus,1947,0039192,1211,3
"Exile, The",1947,0039360,1235,1
Odd Man Out,1947,0039677,1278,2
